start_id,type,end_id
nsw_legislation:2022-11-25/act-1997-078,HAS_PART,nsw_legislation:2022-11-25/act-1997-078_part_3
nsw_legislation:2022-11-25/act-1997-078_part_3,HAS_DIVISION,nsw_legislation:2022-11-25/act-1997-078_part_3_division_2
nsw_legislation:2022-11-25/act-1997-078_part_3_division_2,HAS_SECTION,nsw_legislation:2022-11-25/act-1997-078_part_3_section_20
nsw_legislation:2022-11-25/act-1997-078,HAS_PART,nsw_legislation:2022-11-25/act-1997-078_part_3
nsw_legislation:2022-11-25/act-1997-078_part_3,HAS_DIVISION,nsw_legislation:2022-11-25/act-1997-078_part_3_division_2
nsw_legislation:2022-11-25/act-1997-078_part_3_division_2,HAS_SECTION,nsw_legislation:2022-11-25/act-1997-078_part_3_section_21
nsw_legislation:2022-11-25/act-1997-078,HAS_PART,nsw_legislation:2022-11-25/act-1997-078_part_3
nsw_legislation:2022-11-25/act-1997-078_part_3,HAS_DIVISION,nsw_legislation:2022-11-25/act-1997-078_part_3_division_2
nsw_legislation:2022-11-25/act-1997-078_part_3_division_2,HAS_SECTION,nsw_legislation:2022-11-25/act-1997-078_part_3_section_22
nsw_legislation:2022-11-25/act-1997-078,HAS_PART,nsw_legislation:2022-11-25/act-1997-078_part_3
nsw_legislation:2022-11-25/act-1997-078_part_3,HAS_DIVISION,nsw_legislation:2022-11-25/act-1997-078_part_3_division_2
nsw_legislation:2022-11-25/act-1997-078_part_3_division_2,HAS_SECTION,nsw_legislation:2022-11-25/act-1997-078_part_3_section_23
nsw_legislation:2022-11-25/act-1997-078,HAS_PART,nsw_legislation:2022-11-25/act-1997-078_part_3
nsw_legislation:2022-11-25/act-1997-078_part_3,HAS_DIVISION,nsw_legislation:2022-11-25/act-1997-078_part_3_division_2
nsw_legislation:2022-11-25/act-1997-078_part_3_division_2,HAS_SECTION,nsw_legislation:2022-11-25/act-1997-078_part_3_section_24
nsw_legislation:2022-11-25/act-1997-078,HAS_PART,nsw_legislation:2022-11-25/act-1997-078_part_3
nsw_legislation:2022-11-25/act-1997-078_part_3,HAS_DIVISION,nsw_legislation:2022-11-25/act-1997-078_part_3_division_2
nsw_legislation:2022-11-25/act-1997-078_part_3_division_2,HAS_SECTION,nsw_legislation:2022-11-25/act-1997-078_part_3_section_25
nsw_legislation:2022-11-25/act-1997-078,HAS_PART,nsw_legislation:2022-11-25/act-1997-078_part_3
nsw_legislation:2022-11-25/act-1997-078_part_3,HAS_DIVISION,nsw_legislation:2022-11-25/act-1997-078_part_3_division_2
nsw_legislation:2022-11-25/act-1997-078_part_3_division_2,HAS_SECTION,nsw_legislation:2022-11-25/act-1997-078_part_3_section_26
nsw_legislation:2022-11-25/act-1997-078,HAS_PART,nsw_legislation:2022-11-25/act-1997-078_part_3
nsw_legislation:2022-11-25/act-1997-078_part_3,HAS_DIVISION,nsw_legislation:2022-11-25/act-1997-078_part_3_division_2
nsw_legislation:2022-11-25/act-1997-078_part_3_division_2,HAS_SECTION,nsw_legislation:2022-11-25/act-1997-078_part_3_section_27
nsw_legislation:2022-11-25/act-1997-078,HAS_PART,nsw_legislation:2022-11-25/act-1997-078_part_3
nsw_legislation:2022-11-25/act-1997-078_part_3,HAS_DIVISION,nsw_legislation:2022-11-25/act-1997-078_part_3_division_2
nsw_legislation:2022-11-25/act-1997-078_part_3_division_2,HAS_SECTION,nsw_legislation:2022-11-25/act-1997-078_part_3_section_28
nsw_legislation:2022-11-25/act-1997-078,HAS_PART,nsw_legislation:2022-11-25/act-1997-078_part_3
nsw_legislation:2022-11-25/act-1997-078_part_3,HAS_DIVISION,nsw_legislation:2022-11-25/act-1997-078_part_3_division_2
nsw_legislation:2022-11-25/act-1997-078_part_3_division_2,HAS_SECTION,nsw_legislation:2022-11-25/act-1997-078_part_3_section_29
nsw_legislation:2022-11-25/act-1997-078,HAS_PART,nsw_legislation:2022-11-25/act-1997-078_part_4
